,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
0,1,3-Jan-17,ARH/J117/100,100,3-Jan-17,12-Dec-16,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
1,2,5-Jan-17,ARH/J117/101,101,5-Jan-17,12-Dec-16,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17235,17235
2,3,5-Jan-17,ARH/J117/102,102,5-Jan-17,25-Dec-16,Tubuler Type Level Gauge,2,2900,5800,5510,495.9,495.9,991.8,6501.8,6501
3,4,6-Jan-17,ARH/J117/103,103,6-Jan-17,25-Dec-16,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
4,5,10-Jan-17,ARH/J117/104,104,10-Jan-17,25-Dec-16,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
5,6,11-Jan-17,ARH/J117/105,105,11-Jan-17,25-Dec-16,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
6,7,15-Jan-17,ARH/J117/106,106,15-Jan-17,23-Dec-16,Miniature Level Switch(SS),2,1502,3004,2553.4,229.806,229.806,459.612,3013.012,3013
7,8,16-Jan-17,ARH/J117/107,107,16-Jan-17,10-Dec-16,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3577,3577
8,9,18-Jan-17,ARH/J117/108,108,18-Jan-17,2-Jan-17,By-Pass Level Indicator,5,3500,17500,17500,1575,1575,3150,20650,20650
9,10,18-Jan-17,ARH/J117/109,109,18-Jan-17,4-Jan-17,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
10,11,18-Jan-17,ARH/J117/110,110,18-Jan-17,1-Dec-16,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3422,3422
11,12,19-Jan-17,ARH/J117/111,111,19-Jan-17,5-Dec-16,External Chambers,1,4200,4200,3990,359.1,359.1,718.2,4708.2,4708
12,13,20-Jan-17,ARH/J117/112,112,20-Jan-17,31-Dec-16,Transparent Level Gauge,1,5600,5600,5600,504,504,1008,6858,6858
13,14,23-Jan-17,ARH/J117/113,113,23-Jan-17,6-Jan-17,Miniature Level Switch(PP),1,1502,1502,1502,135.18,135.18,270.36,1772.36,1772
14,15,24-Jan-17,ARH/J117/114,114,24-Jan-17,5-Jan-17,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
15,16,27-Jan-17,ARH/J117/115,115,27-Jan-17,14-Jan-17,Tubuler Type Level Gauge,6,2900,17400,17400,1566,1566,3132,20532,20532
16,17,28-Jan-17,ARH/J117/116,116,28-Jan-17,14-Jan-17,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4255,4255
17,18,28-Jan-17,ARH/J117/117,117,28-Jan-17,14-Jan-17,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
18,19,28-Jan-17,ARH/J117/118,118,28-Jan-17,15-Jan-17,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17110,17110
19,20,28-Jan-17,ARH/J117/119,119,28-Jan-17,16-Jan-17,Miniature Level Switch(SS),1,1502,1502,1426.9,128.421,128.421,256.842,1983.742,1983
20,21,28-Jan-17,ARH/J117/120,120,28-Jan-17,17-Jan-17,By-Pass Level Indicator,2,3500,7000,6650,598.5,598.5,1197,7847,7847
21,22,3-Feb-17,ARH/F217/100,100,3-Feb-17,18-Jan-17,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
22,23,3-Feb-17,ARH/F217/101,101,3-Feb-17,25-Jan-17,Conductivity Float Level Switch,2,11700,23400,22230,2000.7,2000.7,4001.4,26581.4,26581
23,24,3-Feb-17,ARH/F217/102,102,3-Feb-17,25-Jan-17,Conductivity Level Sensor,1,3600,3600,3600,324,324,648,4348,4348
24,25,8-Feb-17,ARH/F217/103,103,8-Feb-17,26-Jan-17,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
25,26,8-Feb-17,ARH/F217/104,104,8-Feb-17,27-Jan-17,Magnetic Float Level Switch,6,12300,73800,70110,6309.9,6309.9,12619.8,82729.8,82729
26,27,13-Feb-17,ARH/F217/105,105,13-Feb-17,28-Jan-17,Side Mount Level Switch,1,650,650,650,58.5,58.5,117,767,767
27,28,15-Feb-17,ARH/F217/106,106,15-Feb-17,28-Jan-17,Conductivity Float Level Switch,1,11700,11700,11700,1053,1053,2106,13806,13806
28,29,15-Feb-17,ARH/F217/107,107,15-Feb-17,28-Jan-17,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
29,30,15-Feb-17,ARH/F217/108,108,15-Feb-17,5-Feb-17,Magnetic Float Level Switch,4,12300,49200,46740,4206.6,4206.6,8413.2,55853.2,55853
